配列|同じ型のデータを連続して並べ、番号(添字)で取り出せるようにしたデータ構造。|a[0]、a[1]、a[2]…のように番号で要素を指定する。
リスト|データを鎖のようにつなげて並べたデータ構造。各要素が次の要素の位置(ポインタ)を持つ。|途中への挿入・削除がポインタのつなぎ替えだけで済む。
スタック|最後に入れたデータを最初に取り出す(後入れ先出し、LIFO)データ構造。|積み重ねた皿は、最後に置いた皿から取る。
キュー|最初に入れたデータを最初に取り出す(先入れ先出し、FIFO)データ構造。|レジの行列は、先に並んだ人から順に会計する。
木構造|根(ルート)から枝分かれして葉へ向かう階層的なデータ構造。|フォルダの階層構造。
二分木|各節点の子が最大2つの木構造。|左の子と右の子がある。
二分探索木|左の子は親より小さく、右の子は親より大きくなるよう作った二分木。探索が速い。
実効アクセス時間|キャッシュのヒット率を考慮した、記憶装置の平均的なアクセス時間。|キャッシュ10ns・主記憶100ns・ヒット率0.9なら 0.9×10+0.1×100=19ns。
メモリインタリーブ|主記憶を複数に分けて、交互に同時アクセスすることで高速化する方式。
仮想記憶|補助記憶の一部を主記憶のように使い、実際の主記憶より大きな領域を扱えるようにする仕組み。
ページング|仮想記憶で、記憶領域を固定長の「ページ」に分けて管理する方式。
スラッシング|ページの入替えが頻発し、処理がほとんど進まなくなる状態。
入力装置|コンピュータへデータを入力する装置。|キーボード、マウス、スキャナ。
出力装置|コンピュータの処理結果を出力する装置。|ディスプレイ、プリンタ。
USB|パソコンと周辺機器をつなぐ、広く使われている汎用のシリアルインタフェース。
HDMI|映像と音声を1本のケーブルでデジタル伝送するインタフェース。
Bluetooth|近距離で機器同士をワイヤレスで接続する通信規格。
NFC|かざすだけで通信する、ごく近距離の無線通信技術。
SATA|HDDやSSDをつなぐためのシリアル方式のインタフェース。
DMA|CPUを介さず、周辺装置と主記憶の間で直接データを転送する方式。
割込み|実行中の処理を一時中断して、別の処理を優先して実行させる仕組み。
バス|コンピュータ内部で、データや信号をやり取りするための共通の伝送路。
シリアル伝送|データを1ビットずつ、順番に送る方式。
パラレル伝送|複数ビットを同時に並べて送る方式。
ソリッドステートドライブ|フラッシュメモリで記憶する補助記憶装置。HDDより高速で衝撃にも強い。SSDともいう。
ハードディスク|磁気ディスクを高速回転させ、ヘッドで読み書きする補助記憶装置。HDDともいう。
アクセス時間|データの読み書きを指示してから、完了するまでにかかる時間。
データ転送速度|1秒間にどれだけのデータを送れるかを表す指標。|単位はbps。
プロジェクト|期間と目的が決まっていて、独自の成果物を作り出すための、一時的な活動。
プロジェクトマネジメント|プロジェクトの目標を達成するために、計画・実行・管理を行うこと。
プロジェクトマネージャ|プロジェクトの責任者として、全体を管理する人。
ステークホルダ|プロジェクトに関わる、利害関係者。|顧客、経営者、開発メンバー。
PMBOK|プロジェクトマネジメントの知識を、体系的にまとめた国際的なガイド。
プロジェクト憲章|プロジェクトの目的や権限を示し、正式に承認する文書。
プロジェクトマネジメント計画書|プロジェクトの進め方や管理方法を、まとめた計画書。
プロジェクト組織|プロジェクトを進めるために、一時的に作る体制。
プロジェクトの立上げ|プロジェクトを開始することを、正式に決める工程。
プロジェクトの終結|成果物を引き渡し、プロジェクトを完了させる工程。
スコープマネジメント|プロジェクトで行う作業の範囲を、明確にして管理すること。
タイムマネジメント|スケジュールを作成し、期限内に完了するよう管理すること。
コストマネジメント|予算内で完了するよう、費用を見積り、管理すること。
品質マネジメント|成果物が、要求された品質を満たすよう管理すること。
人的資源マネジメント|プロジェクトのメンバーを集め、育て、管理すること。
コミュニケーションマネジメント|関係者への情報の伝達や共有を、適切に行うこと。
リスクマネジメント|プロジェクトの目標に影響する不確実な事象を、管理すること。
調達マネジメント|外部から、必要な製品やサービスを購入すること。
ステークホルダマネジメント|関係者の期待を把握し、適切に関わるよう管理すること。
統合マネジメント|プロジェクトの各領域を、調整して全体をまとめること。
WBS|プロジェクトの作業を、細かい作業に階層的に分解した図。
ワークパッケージ|WBSで、最下位まで分解された、管理しやすい作業の単位。
アクティビティ|ワークパッケージを実行するために必要な、個々の作業。
ガントチャート|作業の期間を、横棒で表した工程表。作業の進み具合が分かりやすい。
PERT図|作業の順序関係を矢印でつないで表した図。アローダイアグラムともいう。
クリティカルパス|プロジェクトの開始から終了までの経路のうち、最も長い時間がかかる経路。遅れると全体が遅れる。|A(3日)→B(5日)と、C(4日)のうち長いほうが全体の期間を決める。
余裕時間|全体の完了を遅らせないで、遅らせることのできる時間。フロートともいう。
最早開始日|先行する作業が終わって、最も早く開始できる日。
マイルストーン|プロジェクトの中の、重要な節目となる地点。
見積り|作業に必要な、工数・期間・費用を、予測すること。
工数|作業に必要な、人数と時間の量。|人月(1人が1か月で行う作業量)。
人月|1人が1か月かけて行う作業量を表す単位。
COCOMO|プログラムの規模から、開発の工数や期間を見積もるモデル。
類推見積り|過去の似たプロジェクトの実績をもとに、見積もる方法。
ファンクションポイント法|機能の数と複雑さをもとに、規模を見積もる方法。
ボトムアップ見積り|細かい作業ごとに見積もり、積み上げて全体を求める方法。
アーンドバリューマネジメント|進捗を、金額に換算して、コストと進捗を統合して管理する手法。EVMともいう。
PV|計画どおりなら、現時点までに終わっているはずの作業の価値。計画価値ともいう。
EV|実際に終わった作業を、予算の金額に換算した値。出来高ともいう。
AC|実際に、これまでにかかった費用。実コストともいう。
リスク対応|見つけたリスクに対して、回避・軽減・転嫁・受容のいずれかの対応をとること。
リスク登録簿|見つけたリスクと、その対応策を記録した一覧。
品質計画|プロジェクトの、品質の目標や達成方法を決めること。
パレート図|原因ごとの件数を、多い順に並べ、累積の割合を折れ線で加えた図。
特性要因図|問題の原因を、魚の骨のような形で整理した図。フィッシュボーンともいう。
散布図|2つの項目の関係を、点で表した図。
ヒストグラム|データの分布を、棒グラフで表した図。
管理図|工程が安定しているかを、上下の限界線を使って確認する図。
チェックシート|確認の項目や、点検の結果を記録するための表。
レビュー|プロジェクトの成果物や進捗を、関係者で確認すること。
変更管理|プロジェクトの途中で発生した、計画の変更を管理すること。
情報セキュリティ|情報を、さまざまな脅威から守ること。
機密性|許可された人だけが、情報を利用できること。
完全性|情報が正確で、改ざんされていないこと。
可用性|必要なときに、いつでも情報を利用できること。
情報資産|組織にとって価値のある、情報やその情報を扱う機器など。
脅威|情報資産に損害を与える、原因となるもの。
脆弱性|情報資産の持つ、脅威につけ込まれる弱点。セキュリティホールともいう。
リスク|脅威が脆弱性をついて、損害を発生させる可能性。
ISMS|組織が、情報セキュリティを維持・改善するための管理の仕組み。
セキュリティポリシ|組織の、情報セキュリティに関する基本方針や対策の基準。
リスクアセスメント|リスクを見つけ出し、その大きさを評価すること。
リスク回避|リスクの原因を、なくしてしまう対応。
リスク低減|対策を行って、リスクの大きさを小さくする対応。
リスク移転|保険などを利用して、損失を第三者へ移す対応。
リスク受容|リスクが小さいので、対策をせずに受け入れる対応。
マルウェア|利用者に害を与える目的で作られた、悪意のあるソフトウェアの総称。
コンピュータウイルス|他のプログラムに寄生して、増殖するマルウェア。
ワーム|自分自身をコピーして、ネットワークを通じて増殖するマルウェア。
トロイの木馬|有用なソフトに見せかけて、裏で不正な動作をするマルウェア。
ランサムウェア|データを暗号化して使えなくし、元に戻すことと引き換えに金銭を要求するマルウェア。
スパイウェア|利用者に気づかれないよう、情報を収集して外部へ送信するマルウェア。
ボット|外部から遠隔操作される、感染したコンピュータのプログラム。
DoS攻撃|大量のデータなどを送り、サーバをサービス停止に追い込む攻撃。
DDoS攻撃|多数のコンピュータから、一斉にDoS攻撃を行うもの。
ブルートフォース攻撃|考えられるパスワードを、片っ端から試して破る攻撃。総当たり攻撃ともいう。
辞書攻撃|辞書にある単語などを、パスワードとして次々に試す攻撃。
パスワードリスト攻撃|流出したIDとパスワードの組を使い、他のサービスへの不正ログインを試みる攻撃。
フィッシング|本物そっくりの偽サイトに誘導し、IDやパスワードを盗み取る詐欺。
標的型攻撃|特定の組織を狙って、メールなどで巧妙に行う攻撃。
ソーシャルエンジニアリング|人の心理的な隙や行動のミスにつけこんで、情報を盗み出す手法。|電話で担当者を装ってパスワードを聞き出す。
SQLインジェクション|入力欄に不正なSQL文を入れ、データベースを不正に操作する攻撃。
クロスサイトスクリプティング|Webサイトの脆弱性を利用して、利用者のブラウザで不正なスクリプトを実行させる攻撃。XSSともいう。
クロスサイトリクエストフォージェリ|ログイン中の利用者に、意図しない操作をさせる攻撃。CSRFともいう。
バッファオーバフロー|メモリの領域に、想定を超えるデータを書き込み、不正な動作を引き起こす攻撃。
中間者攻撃|通信の間に割り込んで、内容を盗み見たり、改ざんしたりする攻撃。
ゼロデイ攻撃|脆弱性の修正プログラムが提供される前に、その脆弱性を狙う攻撃。
盗聴|通信の内容を、こっそり盗み見ること。
なりすまし|他人になりすまして、不正に行動すること。
改ざん|データの内容を、不正に書き換えること。
暗号化|データを、第三者に読めない形に変換すること。
復号|暗号化されたデータを、元のデータに戻すこと。
共通鍵暗号方式|暗号化と復号に、同じ鍵を使う暗号方式。処理が速い。|AES。
公開鍵暗号方式|暗号化と復号に、異なる鍵(公開鍵と秘密鍵)を使う暗号方式。|RSA。
公開鍵|誰にでも公開してよい鍵。
秘密鍵|本人だけが持ち、他人に知られないようにする鍵。
AES|現在、広く使われている共通鍵暗号方式。
RSA|素因数分解の難しさを利用した、公開鍵暗号方式。
ハイブリッド暗号|共通鍵暗号と公開鍵暗号を組み合わせて、両方の長所を生かす方式。
ハッシュ関数|データから、固定長の値(ハッシュ値)を計算する関数。元のデータには戻せない。
SSL/TLS|通信を暗号化して、盗聴や改ざんを防ぐプロトコル。
認証|本人であることを、確認すること。
ディジタル署名|送信者が本人であることと、内容が改ざんされていないことを証明する技術。
ディジタル証明書|公開鍵の持ち主が確かであることを、認証局が証明する電子的な証明書。
認証局|ディジタル証明書を発行し、その正しさを保証する機関。CAともいう。
PKI|公開鍵暗号やディジタル証明書を使って、安全な通信や認証を実現する仕組み。
タイムスタンプ|ある時刻に、その電子データが存在したことを証明する技術。
多要素認証|知識・所持・生体など、異なる種類の情報を組み合わせて本人確認する方式。
生体認証|指紋や顔、虹彩など、身体の特徴を使って本人確認する方式。バイオメトリクス認証ともいう。
ワンタイムパスワード|1回限りしか使えない、使い捨てのパスワード。
シングルサインオン|1度の認証で、複数のシステムを利用できるようにする仕組み。
CAPTCHA|人間にしか解けない問題を出して、プログラムによる不正な操作を防ぐ技術。
ファイアウォール|外部との通信を、ルールに基づいて制限し、内部を守る仕組み。
WAF|Webアプリケーションへの攻撃を、検知して防ぐファイアウォール。
IDS|ネットワークやサーバへの不正な侵入を、検知して通知する仕組み。
IPS|不正な侵入を検知するだけでなく、自動的に防御する仕組み。
DMZ|外部に公開するサーバを置く、外部と内部の中間にあたる領域。非武装地帯ともいう。
ウイルス対策ソフト|ウイルスなどのマルウェアを、検出・駆除するソフトウェア。
パターンマッチング法|既知のマルウェアの特徴(パターン)と、照合して検出する方法。
セキュリティパッチ|ソフトウェアの、脆弱性を修正するための更新プログラム。
アクセス制御|利用者ごとに、システムや情報を利用できる権限を制限すること。
最小権限の原則|利用者に、業務に必要な最低限の権限だけを与えるという考え方。
ログ管理|システムの操作の記録(ログ)を保管し、不正の検知や調査に使うこと。
SOC|セキュリティの監視や、インシデントの分析・対応を専門に行う組織。
CSIRT|セキュリティ事故(インシデント)が起きたときに対応する、組織内のチーム。
ペネトレーションテスト|実際に攻撃を試みて、システムの脆弱性を調べるテスト。
脆弱性診断|システムに、脆弱性がないかを調べること。
情報セキュリティ教育|従業員に、セキュリティの知識と意識を身につけさせるための教育。
サービスマネジメント|ITサービスを、顧客の求める品質で継続的に提供するための管理。
ITIL|ITサービスマネジメントの、成功事例をまとめたガイドライン。
ISO/IEC 20000|ITサービスマネジメントの、国際規格。
サービスデスク|利用者からの問合せや要望の窓口となる部署。
SLA|サービスの内容や品質の水準を、提供者と利用者の間で取り決めた合意。
SLM|SLAに基づいて、サービスの品質を維持・改善する活動。
サービスカタログ|提供するサービスの内容を、利用者が分かるようにまとめた一覧。
サービスレベル|提供するサービスの品質の水準。|稼働率99.9%以上など。
サービスの継続|災害などが起きても、サービスを止めないための取組み。
インシデント|サービスの中断や品質の低下など、通常の運用を妨げる出来事。
インシデント管理|インシデントから、できるだけ早くサービスを復旧させるための管理。
問題管理|インシデントの根本の原因を突き止めて、再発を防ぐための管理。
変更管理|サービスへの変更が、安全に行われるように管理すること。
リリース管理|変更したものを、本番環境へ展開する作業を管理すること。
構成管理|サービスを構成する機器やソフトウェアの情報を管理すること。
CMDB|サービスの構成要素と、その関係の情報を蓄積したデータベース。構成管理データベースともいう。
キャパシティ管理|必要な処理能力を予測し、資源を適切に用意すること。
可用性管理|サービスが、必要なときに利用できるように管理すること。
ITサービス継続性管理|災害や大きな障害の時にも、サービスを継続、または早期復旧できるようにする管理。
セキュリティ管理|サービスに関する、情報セキュリティを管理すること。
サービス要求|利用者からの、情報提供や設定変更などの依頼。
根本原因|問題が起きた、本当の原因。
恒久対策|問題を、根本から解決するための対策。
暫定対策|一時的に、影響を抑えるための対策。
システム運用|システムを、安定して動かし続けるための日々の作業。
運用管理|システムの運用を、計画的に管理すること。
ジョブ運用|バッチ処理などのジョブを、計画的に実行・管理すること。
バッチ処理|データをある程度まとめて、一括して処理する方式。
オンライン処理|利用者の要求に応じて、その場で即座に処理する方式。
監視|システムの稼働状況や、障害の有無を常に確認すること。
運用手順書|運用の作業を、誰が行っても同じようにできるよう、手順を記したもの。
バックアップ運用|データを、定期的に複製して保管する運用。
ヘルプデスク|利用者の、問合せなどに対応する窓口。
ログ|システムの動作や利用の状況を、記録したもの。
オペレーション|システムの操作や、運用の作業。
ファシリティマネジメント|建物や設備などの施設を、最適な状態で維持・管理すること。
データセンタ|多数のサーバやネットワーク機器を、専用の施設で管理する拠点。
UPS|停電時などに、一時的に電力を供給し続ける無停電電源装置。
自家発電装置|停電が長引いたときに、電気を作り出す装置。
入退室管理|建物や部屋への、人の出入りを管理すること。
耐震・免震|地震の揺れに耐える、または揺れを建物に伝えにくくする構造。
空調管理|機器の熱による障害を防ぐため、温度や湿度を適切に保つこと。
OS|ハードウェアを管理し、アプリケーションが動く土台となる基本ソフトウェア。|Windows、macOS、Linux。
カーネル|OSの中心となる部分で、CPUやメモリなどの資源管理を担う。
ミドルウェア|OSとアプリケーションの間に入って、共通の機能を提供するソフトウェア。|データベース管理システム。
アプリケーションソフトウェア|文書作成や表計算など、利用者が目的の作業に使うソフトウェア。
ジョブ管理|ジョブ(仕事のまとまり)の実行順序や流れを管理するOSの機能。
タスク管理|プログラムの実行単位(タスク)にCPUを割り当てて管理するOSの機能。
プロセス|実行中のプログラム。OSが資源を割り当てて管理する単位。
スレッド|プロセスの中で並行して動く、より小さな処理の流れ。
マルチタスク|複数のプログラムを、切り替えながら同時に動かすこと。
実行可能状態|CPUを割り当てられれば、すぐ実行できる状態のタスク。レディ状態ともいう。
実行状態|CPUが割り当てられ、実行されている状態のタスク。
待ち状態|入出力の完了などを待って、実行できない状態のタスク。
ディスパッチ|実行可能状態のタスクにCPUを割り当てること。
プリエンプション|実行中のタスクからCPUを取り上げ、別のタスクに割り当てること。
到着順方式|タスクが到着した順にCPUを割り当てる方式。FCFSともいう。
処理時間順方式|処理時間の短いタスクから先に実行する方式。
ラウンドロビン方式|一定時間(タイムスロット)ずつ順番にCPUを割り当てる方式。
優先度順方式|タスクに付けた優先度が高いものから実行する方式。
ページ置換え|主記憶がいっぱいのとき、追い出すページを選んで入れ替えること。
FIFO方式|最も早く読み込まれたページを追い出す方式。
LRU方式|最も長い間使われていないページを追い出す方式。
フラグメンテーション|記憶領域が細かく分断され、空き領域を有効に使えなくなること。
メモリリーク|使い終わったメモリが解放されず、使える領域が減っていく不具合。
排他制御|同じ資源を複数の処理が同時に書き換えないよう、順番に使わせる制御。
ロック|資源を使っている間、他の処理から使えなくする仕組み。
デッドロック|複数の処理が、お互いに相手の持つ資源の解放を待って、永久に進めなくなる状態。
セマフォ|資源の利用可能数を管理して、排他制御を行う仕組み。
ファイルシステム|データをファイルとして名前を付けて保存・管理する仕組み。
ディレクトリ|ファイルをまとめて整理する入れ物。フォルダともいう。
ルートディレクトリ|階層構造の最上位にあるディレクトリ。
絶対パス|ルートディレクトリから目的のファイルまでを、すべて書いた指定方法。
相対パス|現在いる場所(カレントディレクトリ)を起点にして、目的のファイルを指定する方法。
カレントディレクトリ|いま作業の基準となっているディレクトリ。
バックアップ|ファイルの故障や誤操作に備え、コピーを別の場所に保存しておくこと。
フルバックアップ|すべてのデータを丸ごとバックアップする方法。
差分バックアップ|前回のフルバックアップからの変更分だけをバックアップする方法。
増分バックアップ|前回のバックアップからの変更分だけをバックアップする方法。
OSS|ソースコードが公開され、誰でも利用・改変・再配布できるソフトウェア。
Linux|OSSとして開発されているOSのひとつ。サーバで広く使われている。
Apache|OSSのWebサーバソフトウェア。
MySQL|OSSのリレーショナルデータベース管理システム。
Firefox|OSSのWebブラウザ。
GPL|OSSのライセンスの一つ。改変して再配布する場合も、同じ条件で公開しなければならない。
構成管理|ソフトウェアの構成要素(ソースやドキュメントなど)を、一貫して管理すること。
変更管理|ソフトウェアへの変更を、決められた手続きで管理すること。
バージョン管理|ファイルの変更履歴を記録し、過去の状態を取り出せるようにすること。
リポジトリ|ソースコードなどの資産と、その変更履歴を保管する場所。
Git|分散型のバージョン管理システム。
ブランチ|開発の流れを分けて、並行して作業できるようにする仕組み。
マージ|分かれたブランチの変更を、1つにまとめること。
CI|ソースが変更されるたびに、自動でビルドやテストを行う開発手法。継続的インテグレーションともいう。
CD|テストを通ったソフトウェアを、自動的にリリースまで行う手法。継続的デリバリともいう。
ビルド|ソースコードから、実行できる形のプログラムを作ること。
統合開発環境|エディタやデバッガなどの開発道具を、まとめて使えるようにしたソフトウェア。IDEともいう。
CASEツール|ソフトウェア開発の作業を、コンピュータで支援するツールの総称。
ソフトウェアレビュー|開発の成果物を、関係者で確認し、誤りを早期に発見する活動。
ウォークスルー|作成者が、関係者に成果物を説明しながら、誤りを指摘してもらうレビュー。
インスペクション|専門の検査者が、決まった手順で厳格に行うレビュー。
ペアプログラミング|2人1組で、1台のコンピュータを使ってプログラムを書く手法。
テスト駆動開発|先にテストを書き、それを通るようにプログラムを作る開発手法。TDDともいう。
DevSecOps|開発と運用に加えて、セキュリティも最初から組み込む考え方。
ソフトウェア再利用|すでにある部品や設計を、別の開発に使い回すこと。
ソフトウェアパッケージ|完成した状態で、販売されているソフトウェア。
コンポーネント|再利用しやすい単位にまとめた、ソフトウェアの部品。
ソフトウェア品質|ソフトウェアが、利用者の要求を満たしている度合い。
機能性|ソフトウェアが、必要な機能を備えているかどうかという品質。
信頼性|ソフトウェアが、安定して動き続けるかという品質。
使用性|利用者にとって、使いやすいかという品質。
効率性|資源や時間を、無駄なく使えるかという品質。
保守性|修正や改良が、しやすいかという品質。
移植性|別の環境へ移しても、動かしやすいかという品質。
ISO/IEC 25010|ソフトウェアの品質を、評価するための国際規格。
品質保証|製品が、要求された品質を満たすことを、保証するための活動。
品質管理|品質を、目標どおりに保つための活動。
バグ管理図|発見したバグの累積数を、時間の経過に沿って表したグラフ。信頼度成長曲線の目安にする。
バグ密度|プログラムの規模あたりの、バグの数。|1,000行あたり5件など。
ソフトウェアメトリクス|ソフトウェアの規模や品質を、数値で測るための尺度。
ステップ数|プログラムの、命令の行数。ソフトウェアの規模を表す指標。
ファンクションポイント法|機能の数と複雑さから、ソフトウェアの規模を見積もる方法。
著作権|プログラムなどを作った人に、自動的に生じる権利。
ライセンス|ソフトウェアの、利用を許諾する契約や条件。
フリーソフトウェア|無料で使えるソフトウェア。著作権は放棄されていない。
シェアウェア|試用期間の後、気に入れば代金を支払って使うソフトウェア。
情報システム戦略|経営戦略を実現するために、情報システムをどう整備・活用するかを定めた戦略。
全体最適化|部門ごとの都合ではなく、組織全体で見て最も良くなるよう、システムを整えること。
EA|組織全体の業務とシステムを、整理・体系化して最適化するための設計手法。エンタープライズアーキテクチャともいう。
DX|デジタル技術を活用して、ビジネスや組織のあり方を変革すること。
BPR|業務のやり方を、根本から見直して、抜本的に再設計すること。
BPM|業務プロセスを、継続的に分析・改善していく管理手法。
ワークフローシステム|申請や承認などの、業務の流れを電子化して自動的に進める仕組み。
RPA|人が行うパソコンの定型作業を、ソフトウェアのロボットに自動で行わせる技術。
BCP|災害などの緊急時にも、事業を継続または早期に復旧するための計画。
ERP|企業の基幹業務を統合して管理し、経営資源を有効に活用する仕組み。
CRM|顧客の情報を一元管理して、良好な関係を築き、売上を高める手法。
SCM|原材料の調達から、生産、販売までの流れを全体で最適化する手法。
SFA|営業活動を支援して、効率化する仕組み。
POSシステム|商品の販売時に、売上データをその場で収集・管理するシステム。
EDI|企業間で、受発注などのデータを、電子的に交換する仕組み。
電子商取引|インターネットなどを介して、商品やサービスを売買する取引。ECともいう。
B2B|企業と企業の間の、取引。
B2C|企業と、消費者との間の、取引。
C2C|消費者と、消費者との間の、取引。
ナレッジマネジメント|個人が持つ知識やノウハウを、組織で共有し活用する経営手法。
グループウェア|組織内での、情報共有や共同作業を支援するソフトウェア。
ソリューション|顧客の課題を、情報システムなどによって解決すること。
アウトソーシング|自社の業務やシステムの運用を、外部の専門の会社に委託すること。
SIer|顧客のために、システムの設計から構築、運用までを請け負う事業者。
ハウジング|顧客のサーバなどを、事業者の施設に預かるサービス。
ホスティング|事業者のサーバの、一部または全部を借りて利用するサービス。
ASP|インターネット経由でアプリケーションを提供する事業者、またはそのサービス。
シェアリングエコノミー|モノや場所、技術などを、多くの人で共有して活用する経済の仕組み。
システム化計画|情報システムを、どのように作るかを計画すること。
システム化構想|経営戦略に基づいて、情報システムの目的や方向を、大づかみに描くこと。
要件定義|システムに、必要な機能や性能を定めること。
業務要件|業務上、システムに求められる要件。
投資対効果|システムに投資する費用に対して、得られる効果。ROIともいう。
ROI|投資に対して、どれだけの利益が得られたかを示す指標。
費用対効果|かけた費用に対して、得られる効果の大きさ。
調達|システム開発などに必要な、製品やサービスを外部から得ること。
RFI|調達の前に、ベンダに、技術や製品に関する情報の提供を依頼する文書。情報提供依頼書ともいう。
RFP|ベンダに、システムの提案を依頼するための文書。提案依頼書ともいう。
提案書|ベンダが、RFPに対して、実現方法や見積りを示した文書。
請負契約|完成した成果物に対して、報酬が支払われる契約。
準委任契約|作業を行うことを目的とし、成果物の完成は責任を負わない契約。
派遣契約|派遣元が、派遣先の指揮命令のもとで働く人を提供する契約。
SLA|サービスの品質の水準を、提供者と利用者の間で取り決めた合意。
グリーン調達|環境への負荷が小さい、製品やサービスを優先して購入すること。
シンプレックスシステム|1系統のシステムだけで処理を行う最も基本的な構成。
デュプレックスシステム|同じシステムを2系統用意し、1つを予備にしておく構成。
デュアルシステム|2系統のシステムで同じ処理を同時に行い、結果を照合する構成。
ホットスタンバイ|予備系を常時稼働状態で待機させ、障害時にすぐ切り替える方式。
コールドスタンバイ|予備系を停止しておき、障害時に起動して切り替える方式。
クラスタリング|複数のコンピュータを連携させ、1台のシステムのように動かす方式。
負荷分散|処理を複数のコンピュータに振り分けて、1台への集中を避ける仕組み。ロードバランシングともいう。
集中処理|1台の大きなコンピュータで、すべての処理をまとめて行う形態。
分散処理|複数のコンピュータに処理を分担させる形態。
クライアントサーバシステム|サービスを頼む側(クライアント)と、提供する側(サーバ)に役割を分けたシステム。
Webシステム|Webブラウザを使って利用するシステム。
仮想化|1台のコンピュータの上に、複数の仮想的なコンピュータを作る技術。
クラウドコンピューティング|インターネット経由で、必要な分だけコンピュータ資源をサービスとして利用する形態。
SaaS|ソフトウェアの機能をインターネット経由で提供するクラウドサービス。|Web上のメールサービス。
PaaS|アプリケーションを動かすための環境(基盤)をインターネット経由で提供するサービス。
IaaS|サーバやネットワークなどのインフラをインターネット経由で提供するサービス。
エッジコンピューティング|データの発生源の近くで処理を行い、通信の遅延や負荷を減らす方式。
稼働率|システムが正常に動いている時間の割合。|MTBF÷(MTBF+MTTR)で求める。
MTBF|故障から次の故障までの平均時間。長いほど信頼性が高い。平均故障間隔ともいう。
MTTR|故障してから修理が終わるまでの平均時間。短いほど保守性が高い。平均修復時間ともいう。
直列システムの稼働率|すべての装置が動いていないと全体が動かない構成の稼働率。各装置の稼働率をかけ算する。|0.9と0.9なら 0.9×0.9=0.81。
並列システムの稼働率|どれか1台が動けば全体が動く構成の稼働率。1−(各故障率のかけ算)で求める。|0.9と0.9なら 1−0.1×0.1=0.99。
フェールセーフ|故障が起きたとき、安全な方向へ動作させる設計の考え方。|信号機が故障したら全方向を赤にする。
フェールソフト|故障が起きたとき、機能を絞ってでも運転を続ける設計の考え方。
フォールトトレラント|一部が故障してもシステム全体は止まらないようにする設計の考え方。
フールプルーフ|利用者が誤った操作をしても、危険な状態にならないようにする設計の考え方。
バスタブ曲線|機器の故障率が、初期・偶発・摩耗の時期で変化する様子を表した曲線。
RAS|信頼性・可用性・保守性の頭文字を取った、システムの評価の観点。
RASIS|RASに、保全性・完全性を加えたシステムの評価の観点。
RAID|複数のハードディスクを1つのように扱って、信頼性や性能を高める技術。
RAID0|データを複数のディスクに分散して書き込む方式。高速だが冗長性はない。ストライピングともいう。
RAID1|同じデータを2つのディスクに書き込む方式。1台が壊れても平気。ミラーリングともいう。
RAID5|パリティ(誤り訂正情報)を分散して記録する方式。1台が壊れても復旧できる。
RAID6|パリティを2種類記録する方式。2台が同時に壊れても復旧できる。
スループット|単位時間あたりに処理できる仕事の量。
レスポンスタイム|処理を依頼してから、結果の返答が始まるまでの時間。応答時間ともいう。
ターンアラウンドタイム|処理を依頼してから、すべての結果が返ってくるまでの時間。
ベンチマーク|標準的なプログラムを実行して、コンピュータの性能を測る方法。
ボトルネック|システム全体の性能を制限している、処理の遅い部分。
キャパシティプランニング|将来の利用量を予測して、必要な処理能力を計画すること。
TCO|システムの導入から運用、廃棄までにかかる総費用。
イニシャルコスト|システムの導入時にかかる初期費用。
ランニングコスト|システムの運用にかかり続ける費用。
ソフトウェアライフサイクル|ソフトウェアの企画から開発、運用、廃棄までの一生の流れ。
ウォータフォールモデル|要件定義から順に、滝が流れ落ちるように工程を進める開発モデル。
プロトタイピングモデル|試作品を作って利用者に確認してもらい、要件を固めていく開発モデル。
スパイラルモデル|設計・試作・評価を繰り返しながら、少しずつ完成させていく開発モデル。
アジャイル開発|短い期間で、開発とテストを繰り返しながら、変化に柔軟に対応する開発手法。
スクラム|チームで役割を分担し、短い期間(スプリント)ごとに開発を進めるアジャイル手法。
XP|テスト駆動開発やペアプログラミングなどを取り入れたアジャイル手法。エクストリームプログラミングともいう。
DevOps|開発チームと運用チームが協力し、開発から運用までを迅速に行う考え方。
共通フレーム|ソフトウェア開発と取引の作業内容を、共通の言葉で整理した枠組み。
要件定義|システムに求める機能や性能を、明確にする工程。
機能要件|システムが備えるべき、機能に関する要件。
非機能要件|性能・信頼性・セキュリティなど、機能以外に求められる要件。
外部設計|利用者から見えるシステムの、画面や帳票などを設計する工程。基本設計ともいう。
内部設計|外部設計をもとに、システムの内部の構造を設計する工程。詳細設計ともいう。
プログラム設計|プログラムの処理の手順や、部品(モジュール)の構造を設計する工程。
モジュール分割|プログラムを、機能ごとの小さな部品に分けること。
モジュール強度|モジュールの内部の結びつきの強さ。強いほうがよい。
モジュール結合度|モジュール同士の結びつきの強さ。弱いほうがよい。
DFD|データの流れを中心に、システムを表す図。
UML|オブジェクト指向による設計を表す、標準的な図式の表記法。
ユースケース図|システムと、利用者との関わりを表した図。
クラス図|クラスの構造や、クラス同士の関係を表した図。
シーケンス図|オブジェクト間のメッセージのやり取りを、時間の順に表した図。
状態遷移図|状態が、どのような条件で移り変わるかを表した図。
決定表|条件と、その結果として行う動作の組合せを、表にまとめたもの。ディシジョンテーブルともいう。
コーディング|設計をもとに、プログラム言語でプログラムを書くこと。
